record_date,machine_id,machine_name
2026-08-29,97,Ｐ大海物語４スペシャルＳＣＡ
2026-08-29,102,ＰＡ大海物語５ＡＲＢＣ
2026-08-29,104,Ｐ新世紀エヴァンゲリオン１５ 未来への咆哮
2026-08-29,127,Ｐフィーバー戦姫絶唱シンフォギア 黄金絶唱Ｎ
2026-08-29,233,ｅぱちんこソードアート・オンラインＫ１２
2026-08-29,403,Ｐ大海物語５ＨＣＬ
2026-08-29,414,ＰＣＹＢＯＲＧ００９Ｓ３－Ｋ
2026-08-29,452,Ｐ新世紀エヴァンゲリオン１５未来への咆哮Ｙ
2026-08-29,495,ＰＡフィーバーパワフルＲ
2026-08-29,497,Ｐ北斗の拳強敵ＳＳＰＡ
2026-08-29,538,ＰバイオハザードＲＥ２Ｌ９ＹＺ４
2026-08-29,562,Ｐフィーバー炎炎ノ消防隊ＹＲ
2026-08-29,710,ＰＡわんわんセレブレーションＡＧＢＤ
2026-08-29,711,Ｐ中森明菜・歌姫伝説愛ＫＤ－ＮＳ
2026-08-29,714,Ｐとある科学の超電磁砲ＦＳＢ－Ｖ
2026-08-29,730,Ｐ弾球黙示録カイジ沼５Ｖ２Ａ
2026-08-29,764,Ｐとある魔術の禁書目録２ＪＭＺ
2026-08-29,818,ｅソードアート・オンライン~閃光の軌跡~Ｋ７
2026-08-29,845,Ｐ花の慶次~裂Ｎ２－ＶＣ
2026-08-29,866,シン・エヴァンゲリオン １２９ ＬＴ ｖｅｒ．
2026-08-29,904,ＰＡ大海物語５ＨＬＤ
2026-08-29,956,ｅ東京喰種Ｗ
2026-08-29,993,Ｐ弾球黙示録カイジ沼５Ｖ１Ｕ
2026-08-29,1005,Ｐフィーバー機動戦士ガンダムユニコーン２
2026-08-29,1009,Ｐデジハネ北斗の拳慈母ＳＳＰＣ
2026-08-29,1165,ｅ牙狼１２ＸＸ－ＭＪ
2026-08-29,1168,ｅ黄門ちゃま９ＨＣ３
2026-08-29,1170,ＰＡフィーバー戦姫絶唱シンフォギア４ＡＲ
2026-08-29,1188,ｅ女神のカフェテラスＪＬＺ
2026-08-29,1195,ＰＡシン・エヴァンゲリオンＹ
2026-08-29,1196,ＰＡアズールレーンＴＨＥ ＡＮＩＭＡＴＩＯＮ７９Ｖｅｒ
2026-08-29,1227,Ｐルパン三世１４Ｌ０ＹＵ１
2026-08-29,1229,Ｐスーパー海物語ＩＮ沖縄６ＬＴＰ
2026-08-29,1233,eガールズ＆パンツァー3LAH1
2026-08-29,1263,ＰＳＴＥＩＮＳ；ＧＡＴＥ０Ｎ３
2026-08-29,1294,Ｐ／Ｒｅ：ゼロ鬼がかりｖｅｒ／Ａ０３
2026-08-29,1341,ＰＡＣＹＢＯＲＧ００９Ｎ２－Ｋ
2026-08-29,1343,Ｐラブ嬢３Ｌ２ＹＲ３
2026-08-29,1353,ｅ北斗の拳１１暴凶星ＳＨＥＦ
2026-08-29,1355,ＰＡ海物語極ジャパンＨＢＤ
2026-08-29,1356,ＰＡフィーバーからくりサーカス２ＹＦ
2026-08-29,1357,ｅ地獄少女７５００Ｖｅｒ．ＲＨＺ
2026-08-29,1359,ＰＡ野生の王国６Ｎ２
2026-08-29,1397,ｅ新世紀エヴァンゲリオン１７
2026-08-29,1414,Ｐゴジラ対エヴァンゲリオン２ＬＶ
2026-08-29,1423,Ｐ閃乱カグラＬＴＮ－ＦＳ
2026-08-29,1424,ｅバキ２ＬＢＭ４
2026-08-29,1430,ＰＡ乗物娘２Ｎ
2026-08-29,1431,Ｐ黄門ちゃま９ＡＤ２
2026-08-29,1466,ｅフィーバーダンベル何キロ持てる２Ｆ
2026-08-29,1469,Ｐ戦国乙女７Ｌ０ＹＵ１
2026-08-29,1470,Ｐ Ｒｅ：ゼロから始めるｓｅａｓｏｎ２ Ａ１０
2026-08-29,1490,Ｐえとたま２ＳＥ
2026-08-29,1503,ｅリコリス・リコイルＭ３
2026-08-29,1505,ｅ転生したらスライムだった件２ＭＦ
2026-08-29,1508,Ｐにゃんこ大戦争 らいとばーじょん
2026-08-29,1527,ｅフィーバーキン肉マン
2026-08-29,1528,ｅエイティシックスＭＡＭ２
2026-08-29,1529,ｅリング 最恐領域ＲＨＡ
2026-08-29,1560,Ｐ大海物語５ＭＴＥ２
2026-08-29,1561,ｅひきこまり吸血姫の悶々ＦＨＶ
2026-08-29,1562,ｅカケグルイ~生か死か~ＬＴＴ－ＫＲ
2026-08-29,1563,ｅライザのアトリエＫ３
2026-08-29,1564,ｅギンパラＶＩＶＡＦＥＳＴＡＨＴＡ２
2026-08-29,1565,ｅアズールレーンＴＨＥ ＡＮＩＭＡＴＩＯＮ２Ｋ６
2026-08-29,1567,ＰＡフィーバークィーンⅡＹＳ
2026-08-29,1568,Ｐ戦国無双Ｎ
2026-08-29,1580,ｅバイオハザード６ＡＰＮ
2026-08-29,1607,Ｐ魔法少女まどか☆マギカ３ＭＡＪ１
2026-08-29,1608,ＰＡ花の慶次~傾奇一転Ｎ
2026-08-29,1609,ＰファインプレーＨ３
2026-08-29,1610,ＰハネモノファミリースタジアムＭＤ
2026-08-29,1611,ｅ化物語２ＧＳＥＤ
2026-08-29,1612,ＰＡスーパー海物語ＩＮ沖縄６ＲＢＤ
2026-08-29,1614,ｅ東京喰種ＭＷ
2026-08-29,1615,ｅフィーバーデッドマウント・デスプレイＴ
2026-08-29,1616,ｅメイヒテンセイＣＭＰ
2026-08-29,1617,ｅ／ガンゲイル・オンライン／Ｍ０８
2026-08-29,1619,Ｐ ＦＡＩＲＹ ＴＡＩＬ 超一夜Ｖｅｒ．ＦＱＹ
2026-08-29,1620,Ｐ戦国乙女７Ｈ０ＹＺ３
2026-08-29,1621,ＰウルトラマンメビウスＭ４
2026-08-29,1622,Ｐうまい棒２Ｖ３
2026-08-29,1623,Ｐ沖ドキ！ＬＧ
2026-08-29,1624,ｅ Ｒｅ：ゼロｓｅａｓｏｎ２Ｍ１３
2026-08-29,1625,ｅとある科学の超電磁砲 ＬＴＲＳＹ
2026-08-29,1630,ＰフィーバーうたわれるものＺ
2026-08-29,1631,Ｐ魔法少女まどか☆マギカ３ＬＭ３
2026-08-29,1632,Ｐ／Ｒｅ：ゼロ鬼がかりｖｅｒ／Ｌ０７
2026-08-29,1635,Ｐシン・エヴァンゲリオンＸ
2026-08-29,1700,ｅ無職転生~異世界行ったら本気だす
2026-08-29,1701,ｅ虚構推理ＭＨＪＴ
2026-08-29,1702,ｅ必殺仕事人ⅥＭ２
2026-08-29,1703,ｅ結城友奈は勇者であるＭＰ
2026-08-29,1704,ｅ東京リベンジャーズ聖夜決戦編ＥＲＥＣ
2026-08-29,1705,ｅとある魔術の禁書目録 最狂ＲＲＡ
2026-08-29,1706,ｅ魔法少女リリカルなのはＨＴＥＺ２
2026-08-29,1707,Ｐ織田信奈の野望全国版Ｖ４Ａ
2026-08-29,1710,ｅ甲鉄城のカバネリ２ＧＦＥＡ
2026-08-29,1711,ｅフィーバー炎炎ノ消防隊２ＭＳ
2026-08-29,1712,ｅ／押忍番長漢の頂／Ｌ０９
2026-08-29,1737,ｅソードアート・オンライン アリシゼーションＹＫＪ１１
2026-08-29,1738,ｅフィーバー機動戦士ガンダムＳＥＥＤ２ｂＦ
2026-08-29,1739,ｅエデンズゼロＡＩＮ
2026-08-29,1740,ｅ七つの大罪３ＧＦＥＡ
2026-08-29,1742,ｅアクセル・ワールドＬＭ２
2026-08-29,1743,ｅハイスクールオブザデッド３Ｖ１Ａ
2026-08-29,1744,ｅフィーバーブルーロックＭＺ
2026-08-29,1745,ｅ魔法少女まどか☆マギカ３ＬＰＭ１
2026-08-29,1746,ｅフィーバーもののがたりＦ
2026-08-29,1747,ｅ真・一騎当千~軍神覚醒~ＡＭ－ＴＳ
2026-08-29,1777,eｿﾞﾝ100MA
2026-08-29,1779,ｅ／押忍番長漢の頂／Ａ０３
