machine_number,machine_id,machine_name,normal_odds,denominator,observed_days,zero_days,zero_day_rate,current_zero_streak,longest_zero_streak,total_big_hits,mean_big_hits,median_big_hits,first_date,last_date
0440,1563,ｅライザのアトリエＫ３,1/239.7,239.7,7,7,100.0,7,7,0,0,0,2026-08-13,2026-08-21
0395,1703,ｅ結城友奈は勇者であるＭＰ,約1/349,349.0,7,6,85.7,5,5,47,6.71,0,2026-08-13,2026-08-21
0303,233,ｅぱちんこソードアート・オンラインＫ１２,約1/319.9,319.9,7,6,85.7,4,4,13,1.86,0,2026-08-13,2026-08-21
0308,1705,ｅとある魔術の禁書目録 最狂ＲＲＡ,1/253.9,253.9,7,5,71.4,4,4,27,3.86,0,2026-08-13,2026-08-21
0357,1701,ｅ虚構推理ＭＨＪＴ,1/319.7,319.7,7,5,71.4,4,4,10,1.43,0,2026-08-13,2026-08-21
0360,414,ＰＣＹＢＯＲＧ００９Ｓ３－Ｋ,約1/319.7,319.7,7,5,71.4,4,4,56,8,0,2026-08-13,2026-08-21
0386,1615,ｅフィーバーデッドマウント・デスプレイＴ,約1/349.9,349.9,7,5,71.4,4,4,9,1.29,0,2026-08-13,2026-08-21
0396,1703,ｅ結城友奈は勇者であるＭＰ,約1/349,349.0,7,5,71.4,4,4,5,0.71,0,2026-08-13,2026-08-21
0397,1703,ｅ結城友奈は勇者であるＭＰ,約1/349,349.0,7,5,71.4,4,4,10,1.43,0,2026-08-13,2026-08-21
0426,1505,ｅ転生したらスライムだった件２ＭＦ,図柄 約1/399.9,399.9,7,5,71.4,4,4,12,1.71,0,2026-08-13,2026-08-21
0160,1356,ＰＡフィーバーからくりサーカス２ＹＦ,1/99.9,99.9,7,4,57.1,4,4,53,7.57,0,2026-08-13,2026-08-21
0188,1623,Ｐ沖ドキ！ＬＧ,大当り 1/22.2,22.2,7,4,57.1,4,4,6,0.86,0,2026-08-13,2026-08-21
0377,1704,ｅ東京リベンジャーズ聖夜決戦編ＥＲＥＣ,1/199.8,199.8,7,4,57.1,4,4,18,2.57,0,2026-08-13,2026-08-21
0441,1529,ｅリング 最恐領域ＲＨＡ,図柄 約1/399,399.0,7,4,57.1,4,4,25,3.57,0,2026-08-13,2026-08-21
