machine_id,machine_name,normal_odds,right_odds,entry_rate,continuation_rate,upper_rate,source_url,verified_at,note
714,Ｐとある科学の超電磁砲ＦＳＢ－Ｖ,1/239.2,1/68.2,約50%,約80%,,https://www.fujimarukun.co.jp/products/p_railgun/,2026-08-21,FSB系公表スペック
993,Ｐ弾球黙示録カイジ沼５Ｖ１Ｕ,1/319.6,約1/59.7,約79%,約81%,,https://www.p-world.co.jp/machine/database/9945,2026-08-21,時短引戻し等を含むRUSH突入率
1170,ＰＡフィーバー戦姫絶唱シンフォギア４ＡＲ,約1/99.9,約1/38,約50%,約70%,約85%,https://www.p-world.co.jp/machine/database/10293,2026-08-21,上位RUSH搭載
1196,ＰＡアズールレーンＴＨＥ ＡＮＩＭＡＴＩＯＮ７９Ｖｅｒ,約1/79.9,約1/69.5,約40%,約77%,,https://www.p-world.co.jp/machine/database/10326,2026-08-21,SS RUSH Challengeは初当り後100%;SS RUSH突入約40%
1263,ＰＳＴＥＩＮＳ；ＧＡＴＥ０Ｎ３,1/99.9,1/59.4,50%,約60%,約93%,https://www.p-world.co.jp/machine/database/10347,2026-08-21,上位RUSH搭載
1341,ＰＡＣＹＢＯＲＧ００９Ｎ２－Ｋ,1/99.9,1/51.1,約40%,約75%,約95%,https://1geki.jp/pachinko/pa_cyborg009_ros99lt/,2026-08-21,上位LT搭載
1414,Ｐゴジラ対エヴァンゲリオン２ＬＶ,約1/174.9,約1/15.1,約25%,約90%,,https://www.p-world.co.jp/machine/database/10412,2026-08-21,RUSH公表値
1423,Ｐ閃乱カグラＬＴＮ－ＦＳ,1/189.4,1/99.9,50%,約60%,約75%,https://www.p-world.co.jp/machine/database/10408,2026-08-21,LT搭載
1424,ｅバキ２ＬＢＭ４,1/199.8,1/1.34,50%,約75%,約86%,https://pachinko-curation.com/59023/,2026-08-21,上位RUSH搭載
1430,ＰＡ乗物娘２Ｎ,1/77.1,約1/72.5,100%,約52.6%,,https://g-net-ps.com/info/p0519/,2026-08-21,公表スペック
1431,Ｐ黄門ちゃま９ＡＤ２,1/99.9,1/84.6,50%,約70%,約80%,https://g-net-ps.com/info/p0516/,2026-08-21,上位RUSH搭載
1503,ｅリコリス・リコイルＭ３,1/259.7,1/97.1,50%,約75%,,https://1geki.jp/pachinko/lycoris_recoil/,2026-08-21,RUSH公表値
1505,ｅ転生したらスライムだった件２ＭＦ,図柄 約1/399.9,約1/99.1,約61.3%,約75%,約80%,https://1geki.jp/pachinko/e_tensura2/,2026-08-21,大当り合算約1/349.9
1508,Ｐにゃんこ大戦争 らいとばーじょん,1/88.9,1/26.2,25.5%,約81%,,https://pachinko-curation.com/60351/,2026-08-21,88らいとばーじょんM2
1527,ｅフィーバーキン肉マン,図柄 約1/399.9,約1/92.3,約51%,約77%,,https://www.sankyo-fever.jp/products/machine_list/ppl/spec/,2026-08-21,大当り合算約1/349.9
1528,ｅエイティシックスＭＡＭ２,1/239.1,,チャレンジ約55%,約79%,約70%,https://www.p-world.co.jp/machine/database/10451,2026-08-21,Operation86継続約79%;キリヤ血戦2戦目以降約70%
1561,ｅひきこまり吸血姫の悶々ＦＨＶ,大当り 1/348.5,RUSH 約1/99,約51%,約77%,,https://pachinko-curation.com/61297/,2026-08-21,CZ合算約1/129.8
1562,ｅカケグルイ~生か死か~ＬＴＴ－ＫＲ,1/204.2,1/99.2,約12.5%,約75%,,https://pachinko-curation.com/61043/,2026-08-21,ジャッジメント経由のRUSH実質突入
1563,ｅライザのアトリエＫ３,1/239.7,1/69.5,26%,約77%,,https://pachinko-curation.com/61022/,2026-08-21,RUSH公表値
1564,ｅギンパラＶＩＶＡＦＥＳＴＡＨＴＡ２,約1/319.6,約1/49.7,約45%,約81%,約87%,https://g-net-ps.com/info/p0552/,2026-08-21,上位RUSH搭載
1565,ｅアズールレーンＴＨＥ ＡＮＩＭＡＴＩＯＮ２Ｋ６,1/169.9,1/21.9,約15%,約81%,,https://pachinko-curation.com/57935/,2026-08-21,RUSH公表値
1567,ＰＡフィーバークィーンⅡＹＳ,1/99.9,1/12.0,ST 100%,,,https://g-net-ps.com/info/p0559/,2026-08-21,ST8回+時短;継続率は電サポ回数で変化
1568,Ｐ戦国無双Ｎ,1/100.9,1/40.2,25%,約80%,約94%,https://pachinko-curation.com/61161/,2026-08-21,上位RUSH搭載
1607,Ｐ魔法少女まどか☆マギカ３ＭＡＪ１,1/99.9,1/62.1,55%,約65%,約90%,https://pachinko-curation.com/61092/,2026-08-21,上位RUSH搭載
1608,ＰＡ花の慶次~傾奇一転Ｎ,1/87.8,1/87.8,100%,約60%,,https://pachinko-curation.com/61460/,2026-08-21,RUSH公表値
1609,ＰファインプレーＨ３,羽根モノ／役物,,,,,https://www.p-world.co.jp/machine/database/10342,2026-08-21,固定デジタル大当り確率なし;役物確率目安1/12.5
1610,ＰハネモノファミリースタジアムＭＤ,羽根モノ／役物,,,,,https://p-town.dmm.com/machines/4693/shops,2026-08-21,固定デジタル大当り確率なし
1611,ｅ化物語２ＧＳＥＤ,約1/99.9,約1/17.3,50%,約79%,,https://nana-press.com/kaiseki/machine/1153/35921/,2026-08-21,血闘ノ刻
1614,ｅ東京喰種ＭＷ,大当り 約1/349.9,約1/7.7,約50%,約50%,,https://pachinko-curation.com/61509/,2026-08-21,図柄揃い約1/999.9;チャージ経由を含む
1615,ｅフィーバーデッドマウント・デスプレイＴ,約1/349.9,約1/43,約51%,約78%,約50%,https://news.p-world.co.jp/articles/33358/yugitsushin,2026-08-21,上位の魂神の一撃成功率約50%
1616,ｅメイヒテンセイＣＭＰ,1/199.8,1/95.5,約41.6%,75%,,https://g-net-ps.com/info/p0569/,2026-08-21,LT/RUSH公表値
1617,ｅ／ガンゲイル・オンライン／Ｍ０８,1/319.9,1/99.9,約41%,約80%,,https://pachinko-curation.com/61640/,2026-08-21,RUSH公表値
1619,Ｐ ＦＡＩＲＹ ＴＡＩＬ 超一夜Ｖｅｒ．ＦＱＹ,約1/319.6,約1/40,約55%,約60%,約81%,https://g-net-ps.com/info/p0457/,2026-08-21,上位RUSH搭載
